,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,ice/cice_in.nml -> setup_nml -> istep0,ice/cice_in.nml -> setup_nml -> restart,ice/cice_in.nml -> setup_nml -> runtype
,0,1960-01-01T00:00:00,1961-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/1deg_era5_iaf,/g/data/e14/rmh561/access-om2/archive/1deg_era5_iaf/output000,5.13,/g/data/e14/rmh561/access-om2/archive/1deg_era5_iaf/restart000,0.46,Ryan Holmes,2023-03-11T14:47:53,76251394,20,"[64542554, 71414172, 71415005, 71415180, 71804519, 71809906, 71823612, 72676215, 72686566, 73853473, 75857970, 75859884, 75987133, 76002407, 76056384, 76073936, 76094295, 76127620, 76134286, 76249997]",normal,676.48,1.1744444444444444,675.0937704918033,1.172037795992714,,,,277.7400000002235,288,216,24,0.637,2395.663871,13.61,76.82,"[16, 15]",cartesian,15,300,3600,80,1,fd7c722feb8c26bab3672b82d2bee79647e3cf39,2023-03-11 13:39:43 +1100,,,0,False,initial
,1,1961-01-01T00:00:00,1962-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/1deg_era5_iaf,/g/data/e14/rmh561/access-om2/archive/1deg_era5_iaf/output001,3.881,/g/data/e14/rmh561/access-om2/archive/1deg_era5_iaf/restart001,0.461,Ryan Holmes,2023-03-11T15:49:01,76261853,0,[],normal,588.64,1.0219444444444445,589.0431780821917,1.022644406392694,-0.003055555555555589,13865.456924754633,23.538948315975446,285.7599999997765,288,216,24,0.631,2303.722046,9.35,74.12,"[16, 15]",cartesian,15,300,3600,80,1,1426b36e1523f21c38e2ea4da1dbf5768c180d9f,2023-03-11 14:53:19 +1100,"manifests/input.yaml, manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_1deg_era5_iaf.csv","['2023-03-11 14:51:02: Run 1', 'update run summary']",35040,True,continue
,2,1962-01-01T00:00:00,1963-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/1deg_era5_iaf,/g/data/e14/rmh561/access-om2/archive/1deg_era5_iaf/output002,3.884,/g/data/e14/rmh561/access-om2/archive/1deg_era5_iaf/restart002,0.461,Ryan Holmes,2023-03-11T16:52:05,76270623,0,[],normal,602.08,1.0452777777777778,602.4923835616439,1.0459937214611872,0.005833333333333357,13747.281183932348,22.817352648783814,288.3099999995902,288,216,24,0.634,2346.766706,14.5,75.64,"[16, 15]",cartesian,15,300,3600,80,1,13d17edbf39692a6f056069fb187cc9cf5c10d2f,2023-03-11 15:54:48 +1100,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_1deg_era5_iaf.csv","['2023-03-11 15:53:04: Run 2', 'update run summary']",70080,True,continue
,3,1963-01-01T00:00:00,1964-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/1deg_era5_iaf,/g/data/e14/rmh561/access-om2/archive/1deg_era5_iaf/output003,3.885,/g/data/e14/rmh561/access-om2/archive/1deg_era5_iaf/restart003,0.462,Ryan Holmes,2023-03-11T17:52:46,76277456,0,[],normal,580.0,1.0069444444444444,580.3972602739726,1.0076341324200913,0.004444444444444473,13763.251853886297,23.713502450699792,272.59999999962747,288,216,24,0.629,2273.530695,10.5,74.24,"[16, 15]",cartesian,15,300,3600,80,1,ea8a4a0f5b26299dafd34fce97d88377858e2c30,2023-03-11 16:58:17 +1100,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_1deg_era5_iaf.csv","['2023-03-11 16:55:16: Run 3', 'update run summary']",105120,True,continue
,4,1964-01-01T00:00:00,1965-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/1deg_era5_iaf,/g/data/e14/rmh561/access-om2/archive/1deg_era5_iaf/output004,3.887,/g/data/e14/rmh561/access-om2/archive/1deg_era5_iaf/restart004,0.203,Ryan Holmes,2023-03-11T18:57:15,76282498,0,[],normal,615.84,1.0691666666666666,614.5780327868853,1.0669757513661202,0.005555555555555536,13752.539674334454,22.377206702250238,284.15000000037253,288,216,24,0.647,2471.230891,7.57,76.99,"[16, 15]",cartesian,15,300,3600,80,1,21648cac948d914f875e5e9796bc655f245d6a80,2023-03-11 17:58:44 +1100,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_1deg_era5_iaf.csv","['2023-03-11 17:56:26: Run 4', 'update run summary']",140160,True,continue
,5,1965-01-01T00:00:00,1966-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/1deg_era5_iaf,/g/data/e14/rmh561/access-om2/archive/1deg_era5_iaf/output005,3.881,/g/data/e14/rmh561/access-om2/archive/1deg_era5_iaf/restart005,0.134,Ryan Holmes,2023-03-11T20:10:22,76292447,0,[],normal,697.12,1.2102777777777778,697.5974794520548,1.2111067351598173,0.008333333333333304,13729.466149988602,19.681071899475256,285.48000000044703,288,216,24,0.691,2962.271826,7.75,79.43,"[16, 15]",cartesian,15,300,3600,80,1,49867bd961b6bd8ceec2e3244431d424571f97bd,2023-03-11 19:03:39 +1100,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_1deg_era5_iaf.csv","['2023-03-11 19:01:27: Run 5', 'update run summary']",175200,True,continue
,6,1966-01-01T00:00:00,1967-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/1deg_era5_iaf,/g/data/e14/rmh561/access-om2/archive/1deg_era5_iaf/output006,3.883,/scratch/e14/rmh561/access-om2/archive/1deg_era5_iaf/restart006,0.462,Ryan Holmes,2023-03-11T21:16:13,76303264,0,[],normal,624.8,1.0847222222222221,625.2279452054794,1.0854651826484016,0.012777777777777777,13663.052391799545,21.852913799797,284.9900000002235,288,216,24,0.661,2591.096723,8.62,77.01,"[16, 15]",cartesian,15,300,3600,80,1,477029cd8931bfba3d368f2f116fb79c6ee3376e,2023-03-11 20:16:40 +1100,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_1deg_era5_iaf.csv","['2023-03-11 20:13:36: Run 6', 'update run summary']",210240,True,continue
,7,1967-01-01T00:00:00,1968-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/1deg_era5_iaf,/g/data/e14/rmh561/access-om2/archive/1deg_era5_iaf/output007,3.882,/scratch/e14/rmh561/access-om2/archive/1deg_era5_iaf/restart007,0.462,Ryan Holmes,2023-03-11T22:22:50,76308875,0,[],normal,636.48,1.105,636.9159452054795,1.1057568493150685,0.005277777777777715,13758.286715036278,21.60141666825068,286.37999999988824,288,216,24,0.657,2578.118503,12.86,81.32,"[16, 15]",cartesian,15,300,3600,80,1,1d21580f9153d1ae7b9b4966c71d239e19675dce,2023-03-11 21:22:22 +1100,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_1deg_era5_iaf.csv","['2023-03-11 21:20:10: Run 7', 'update run summary']",245280,True,continue
,8,1968-01-01T00:00:00,1969-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/1deg_era5_iaf,/g/data/e14/rmh561/access-om2/archive/1deg_era5_iaf/output008,3.891,/scratch/e14/rmh561/access-om2/archive/1deg_era5_iaf/restart008,0.462,Ryan Holmes,2023-03-11T23:37:44,76316403,0,[],normal,716.8,1.2444444444444445,715.3311475409836,1.2418943533697633,0.0038888888888888307,13780.93457943925,19.26511186715758,271.5599999995902,288,216,24,0.689,2967.588318,8.51,77.5,"[16, 15]",cartesian,15,300,3600,80,1,97550e0ef66e8fd8f38fdc029d75158215eedbde,2023-03-11 22:29:33 +1100,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_1deg_era5_iaf.csv","['2023-03-11 22:28:20: Run 8', 'update run summary']",280320,True,continue
,9,1969-01-01T00:00:00,1970-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/1deg_era5_iaf,/g/data/e14/rmh561/access-om2/archive/1deg_era5_iaf/output009,3.888,/scratch/e14/rmh561/access-om2/archive/1deg_era5_iaf/restart009,1.207,Ryan Holmes,2023-03-12T00:44:07,76323877,0,[],normal,635.2,1.1027777777777779,635.6350684931507,1.1035331050228312,0.0036111111111110095,13778.880241024355,21.677344319105686,283.96999999973923,288,216,24,0.659,2602.790678,6.45,77.74,"[16, 15]",cartesian,15,300,3600,80,1,4d03f3c86bb524c4ba45b85eca2a32e2c727f570,2023-03-11 23:44:24 +1100,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_1deg_era5_iaf.csv","['2023-03-11 23:41:05: Run 9', 'update run summary']",315360,True,continue
