,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,ice/cice_in.nml -> setup_nml -> istep0,ice/cice_in.nml -> setup_nml -> restart,ice/cice_in.nml -> setup_nml -> runtype
,0,1980-01-01T00:00:00,1981-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/1deg_era5_iaf_1980p,/g/data/e14/rmh561/access-om2/archive/1deg_era5_iaf_1980p/output000,3.863,/scratch/e14/rmh561/access-om2/archive/1deg_era5_iaf_1980p/restart000,0.46,Ryan Holmes,2023-03-22T20:43:11,77635048,0,[],normal,615.68,1.068888888888889,614.4183606557376,1.0666985428051003,,,,276.839999999851,288,216,24,0.661,2575.714734,8.37,73.71,"[16, 15]",cartesian,15,300,3600,80,1,007d9bcbeab57fd825a48afe3d9e8c891cf91b35,2023-03-22 19:40:48 +1100,,,0,False,initial
,1,1981-01-01T00:00:00,1982-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/1deg_era5_iaf_1980p,/g/data/e14/rmh561/access-om2/archive/1deg_era5_iaf_1980p/output001,3.878,/scratch/e14/rmh561/access-om2/archive/1deg_era5_iaf_1980p/restart001,0.461,Ryan Holmes,2023-03-23T11:39:16,77664827,0,[],normal,2357.92,4.0936111111111115,2359.5350136986303,4.0964149543379,10.841111111111111,3789.161871105738,1.6058934701571272,286.1399999996647,288,216,24,0.753,3957.047052,6.51,75.21,"[16, 15]",cartesian,15,300,3600,80,1,cd24093d8739fb4c79ef28fb445609b3d447d117,2023-03-23 10:13:50 +1100,"manifests/input.yaml, manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_1deg_era5_iaf_1980p.csv","['update run summary', '2023-03-23 10:13:50: Run 1']",35040,True,continue
,2,1982-01-01T00:00:00,1983-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/1deg_era5_iaf_1980p,/g/data/e14/rmh561/access-om2/archive/1deg_era5_iaf_1980p/output002,3.88,/scratch/e14/rmh561/access-om2/archive/1deg_era5_iaf_1980p/restart002,0.461,Ryan Holmes,2023-03-23T21:16:58,77692650,0,[],normal,682.08,1.1841666666666666,682.5471780821919,1.1849777397260273,8.444166666666668,1700.182101436732,2.4909371191217455,275.62000000011176,288,216,24,0.669,2700.461395,10.05,140.97,"[16, 15]",cartesian,15,300,3600,80,1,0ac00688e7c7e6841b0f1df43106eab7772d2f43,2023-03-23 20:12:16 +1100,"manifests/input.yaml, manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_1deg_era5_iaf_1980p.csv","['update run summary', '2023-03-23 20:12:16: Run 2']",70080,True,continue
,3,1983-01-01T00:00:00,1984-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/1deg_era5_iaf_1980p,/g/data/e14/rmh561/access-om2/archive/1deg_era5_iaf_1980p/output003,3.878,/scratch/e14/rmh561/access-om2/archive/1deg_era5_iaf_1980p/restart003,0.462,Ryan Holmes,2023-03-24T04:59:24,77728766,0,[],normal,602.56,1.0461111111111112,602.9727123287671,1.0468276255707762,6.661111111111111,1876.3491674475595,3.111830981871187,284.09999999962747,288,216,24,0.653,2507.267189,7.93,78.88,"[16, 15]",cartesian,15,300,3600,80,1,950e4cd27bcb1004f55e6c697f97c89aa81f91a8,2023-03-24 03:58:10 +1100,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_1deg_era5_iaf_1980p.csv","['update run summary', '2023-03-24 03:58:09: Run 3']",105120,True,continue
,4,1984-01-01T00:00:00,1985-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/1deg_era5_iaf_1980p,/g/data/e14/rmh561/access-om2/archive/1deg_era5_iaf_1980p/output004,3.882,/scratch/e14/rmh561/access-om2/archive/1deg_era5_iaf_1980p/restart004,0.462,Ryan Holmes,2023-03-24T08:07:22,77751039,0,[],normal,607.68,1.055,606.4347540983606,1.0528381147540984,2.0777777777777775,4655.395637524383,7.676663657652613,288.87000000011176,288,216,24,0.645,2416.104852,5.3,76.86,"[16, 15]",cartesian,15,300,3600,80,1,3416f6d1b2094972deb042f118f0b340813ee307,2023-03-24 07:07:44 +1100,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_1deg_era5_iaf_1980p.csv","['update run summary', '2023-03-24 07:07:44: Run 4']",140160,True,continue
,5,1985-01-01T00:00:00,1986-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/1deg_era5_iaf_1980p,/g/data/e14/rmh561/access-om2/archive/1deg_era5_iaf_1980p/output005,3.876,/scratch/e14/rmh561/access-om2/archive/1deg_era5_iaf_1980p/restart005,0.462,Ryan Holmes,2023-03-24T17:45:52,77757645,0,[],normal,680.8,1.1819444444444445,681.266301369863,1.18275399543379,8.459722222222222,1694.6447709593776,2.4874924351195027,281.9400000004098,288,216,24,0.673,2735.342548,10.18,77.21,"[16, 15]",cartesian,15,300,3600,80,1,b49a5acebc95235defc298bf094576e5f3a5b4b7,2023-03-24 16:40:57 +1100,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_1deg_era5_iaf_1980p.csv","['update run summary', '2023-03-24 16:40:57: Run 5']",175200,True,continue
,6,1986-01-01T00:00:00,1987-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/1deg_era5_iaf_1980p,/g/data/e14/rmh561/access-om2/archive/1deg_era5_iaf_1980p/output006,3.877,/scratch/e14/rmh561/access-om2/archive/1deg_era5_iaf_1980p/restart006,0.462,Ryan Holmes,2023-03-24T22:47:11,77791781,0,[],normal,698.4,1.2125,698.8783561643835,1.2133304794520547,3.8094444444444444,3337.671331378948,4.77575432396692,283.1100000003353,288,216,24,0.692,2986.53193,7.02,76.15,"[16, 15]",cartesian,15,300,3600,80,1,8f31370c5f29650784011e08e500f39004f30b90,2023-03-24 21:37:49 +1100,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_1deg_era5_iaf_1980p.csv","['update run summary', '2023-03-24 21:37:48: Run 6']",210240,True,continue
,7,1987-01-01T00:00:00,1988-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/1deg_era5_iaf_1980p,/g/data/e14/rmh561/access-om2/archive/1deg_era5_iaf_1980p/output007,3.881,/scratch/e14/rmh561/access-om2/archive/1deg_era5_iaf_1980p/restart007,0.462,Ryan Holmes,2023-03-25T01:47:49,77804793,0,[],normal,620.96,1.0780555555555555,621.3853150684931,1.0787939497716894,1.9324999999999999,4950.262410038753,7.9664940416126555,287.28000000026077,288,216,24,0.653,2506.397107,6.13,77.78,"[16, 15]",cartesian,15,300,3600,80,1,74abec0119259f5bb3bf3b89102a844ae8b11b7c,2023-03-25 00:46:39 +1100,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_1deg_era5_iaf_1980p.csv","['update run summary', '2023-03-25 00:46:38: Run 7']",245280,True,continue
,8,1988-01-01T00:00:00,1989-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/1deg_era5_iaf_1980p,/g/data/e14/rmh561/access-om2/archive/1deg_era5_iaf_1980p/output008,3.887,/scratch/e14/rmh561/access-om2/archive/1deg_era5_iaf_1980p/restart008,1.207,Ryan Holmes,2023-03-25T03:05:57,77811243,0,[],normal,640.96,1.1127777777777779,639.6465573770492,1.110497495446266,0.1894444444444443,11812.91467576792,18.46787814227947,284.1100000003353,288,216,24,0.66,2592.205633,10.2,76.87,"[16, 15]",cartesian,15,300,3600,80,1,2f200f02d9feedb67f3e7140735b0472d066948c,2023-03-25 02:03:17 +1100,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_1deg_era5_iaf_1980p.csv","['update run summary', '2023-03-25 02:03:17: Run 8']",280320,True,continue
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
